Image,Word,Writer
r02-013-09-01.png,a,r02-013-09
151982.png,a,
100503.png,a,
204465.png,a,
f02-076-07-00.png,a,f02-076-07
a04-019-02-06.png,a,a04-019-02
c03-087f-06-08.png,a,c03-087f-06
45316.png,a,
b05-055-02-02.png,a,b05-055-02
170826.png,a,
b06-068-07-07.png,abandon,b06-068-07
143237.png,abandon,
143238.png,abandon,
143236.png,abandon,
143234.png,abandon,
143235.png,abandon,
198179.png,abandoned,
f01-075-07-02.png,abandoned,f01-075-07
55061.png,abandoned,
89666.png,abandoned,
a03-063-08-06.png,abandoned,a03-063-08
55060.png,abandoned,
89667.png,abandoned,
55059.png,abandoned,
198181.png,abandoned,
198183.png,abandoned,
c03-094c-03-01.png,abashed,c03-094c-03
41664.png,abashed,
181094.png,abashed,
c03-094d-04-01.png,abashed,c03-094d-04
43983.png,abashed,
184752.png,abashed,
181097.png,abashed,
c03-094a-03-05.png,abashed,c03-094a-03
43979.png,abashed,
181096.png,abashed,
105218.png,ability,
68136.png,ability,
105217.png,ability,
b01-084-05-04.png,ability,b01-084-05
68134.png,ability,
68137.png,ability,
c02-059-09-01.png,ability,c02-059-09
105215.png,ability,
105214.png,ability,
68135.png,ability,
121467.png,able,
121466.png,able,
97067.png,able,
167888.png,able,
98812.png,able,
97068.png,able,
41691.png,able,
94916.png,able,
54678.png,able,
98811.png,able,
100175.png,abolish,
100177.png,abolish,
100178.png,abolish,
100176.png,abolish,
100174.png,abolish,
f01-058-08-00.png,abolish,f01-058-08
63470.png,abolished,
a01-003u-08-05.png,abolished,a01-003u-08
198102.png,abolished,
198099.png,abolished,
63473.png,abolished,
90789.png,abolished,
198101.png,abolished,
90792.png,abolished,
198103.png,abolished,
90791.png,abolished,
97589.png,abolition,
197043.png,abolition,
e07-083-02-03.png,abolition,e07-083-02
a01-007u-02-05.png,abolition,a01-007u-02
197041.png,abolition,
184334.png,abolition,
165655.png,abolition,
165658.png,abolition,
97591.png,abolition,
197039.png,abolition,
37657.png,about,
103582.png,about,
183926.png,about,
201280.png,about,
165457.png,about,
84687.png,about,
118864.png,about,
177960.png,about,
c03-081b-03-01.png,about,c03-081b-03
192564.png,about,
171995.png,above,
156097.png,above,
144312.png,above,
144311.png,above,
144309.png,above,
144310.png,above,
171997.png,above,
156094.png,above,
171994.png,above,
171996.png,above,
72519.png,abreast,
72520.png,abreast,
b06-100-02-04.png,abreast,b06-100-02
72521.png,abreast,
72522.png,abreast,
72523.png,abreast,
121945.png,abroad,
34929.png,abroad,
121947.png,abroad,
121944.png,abroad,
b01-049-01-06.png,abroad,b01-049-01
34931.png,abroad,
a02-020-04-05.png,abroad,a02-020-04
34933.png,abroad,
34930.png,abroad,
121946.png,abroad,
88672.png,absence,
a02-032-00-03.png,absence,a02-032-00
88669.png,absence,
88671.png,absence,
80043.png,absence,
a03-080-06-05.png,absence,a03-080-06
80040.png,absence,
76016.png,absence,
76017.png,absence,
76018.png,absence,
190679.png,absent,
a02-090-00-11.png,absent,a02-090-00
190681.png,absent,
190682.png,absent,
190680.png,absent,
190683.png,absent,
48716.png,absolutely,
a01-113-02-07.png,absolutely,a01-113-02
187874.png,absolutely,
187877.png,absolutely,
r06-137-06-00.png,absolutely,r06-137-06
187878.png,absolutely,
143739.png,absolutely,
48714.png,absolutely,
143743.png,absolutely,
48715.png,absolutely,
72572.png,abstraction,
72569.png,abstraction,
c02-007-08-03.png,abstraction,c02-007-08
72570.png,abstraction,
72573.png,abstraction,
72571.png,abstraction,
189052.png,abundance,
189053.png,abundance,
189050.png,abundance,
189051.png,abundance,
189049.png,abundance,
b04-020-07-00.png,abundance,b04-020-07
156405.png,academic,
c06-106-09-02.png,academic,c06-106-09
156406.png,academic,
156408.png,academic,
156404.png,academic,
156407.png,academic,
101896.png,accent,
a05-069-05-00.png,accent,a05-069-05
101898.png,accent,
101897.png,accent,
101894.png,accent,
101895.png,accent,
183980.png,accents,
92583.png,accents,
c03-096e-06-02.png,accents,c03-096e-06
92582.png,accents,
92579.png,accents,
205158.png,accents,
205156.png,accents,
167508.png,accents,
c03-096d-07-00.png,accents,c03-096d-07
68642.png,accents,
85779.png,accept,
b04-060-04-02.png,accept,b04-060-04
85783.png,accept,
183354.png,accept,
183356.png,accept,
116889.png,accept,
130109.png,accept,
116891.png,accept,
85782.png,accept,
183358.png,accept,
69190.png,acceptable,
69191.png,acceptable,
69189.png,acceptable,
69193.png,acceptable,
a03-043-05-02.png,acceptable,a03-043-05
69192.png,acceptable,
71997.png,accepted,
91856.png,accepted,
71994.png,accepted,
a02-078-01-01.png,accepted,a02-078-01
91855.png,accepted,
91858.png,accepted,
91854.png,accepted,
71995.png,accepted,
71998.png,accepted,
a04-103-08-01.png,accepted,a04-103-08
148094.png,accepting,
b06-045-02-09.png,accepting,b06-045-02
118451.png,accepting,
148096.png,accepting,
f04-028-06-00.png,accepting,f04-028-06
37028.png,accepting,
37026.png,accepting,
118453.png,accepting,
148095.png,accepting,
37024.png,accepting,
45406.png,accessories,
45407.png,accessories,
e01-102-03-06.png,accessories,e01-102-03
45408.png,accessories,
45404.png,accessories,
45405.png,accessories,
201988.png,accident,
r06-076-04-02.png,accident,r06-076-04
201987.png,accident,
201986.png,accident,
201984.png,accident,
201985.png,accident,
67615.png,accidental,
67616.png,accidental,
67614.png,accidental,
67617.png,accidental,
c04-061-04-02.png,accidental,c04-061-04
67618.png,accidental,
104844.png,accommodate,
104847.png,accommodate,
104846.png,accommodate,
e07-079-02-04.png,accommodate,e07-079-02
104848.png,accommodate,
104845.png,accommodate,
160450.png,accommodation,
160451.png,accommodation,
160449.png,accommodation,
160453.png,accommodation,
e02-117-00-05.png,accommodation,e02-117-00
160452.png,accommodation,
68816.png,accompanied,
68815.png,accompanied,
68818.png,accompanied,
68817.png,accompanied,
a05-053-05-00.png,accompanied,a05-053-05
68814.png,accompanied,
64529.png,accompanist,
64532.png,accompanist,
64530.png,accompanist,
64531.png,accompanist,
64533.png,accompanist,
g04-032-02-06.png,accompanist,g04-032-02
182857.png,accompany,
182855.png,accompany,
182856.png,accompany,
182854.png,accompany,
a02-017-04-02.png,accompany,a02-017-04
182858.png,accompany,
129580.png,accomplished,
129579.png,accomplished,
42254.png,accomplished,
42256.png,accomplished,
c06-100-07-07.png,accomplished,c06-100-07
129582.png,accomplished,
42258.png,accomplished,
c04-039-06-03.png,accomplished,c04-039-06
129583.png,accomplished,
129581.png,accomplished,
98064.png,accomplishments,
98066.png,accomplishments,
98067.png,accomplishments,
a03-034-02-06.png,accomplishments,a03-034-02
98065.png,accomplishments,
98068.png,accomplishments,
146157.png,according,
